model_id,architecture,training_parent,training_relation,phase,planned_chemical_replicas,eligible_chemical_replicas,scientific_status,endpoint,mean,sample_standard_deviation,ci95_lower,ci95_upper,ci_method
DPA4__bcc_parent,DPA4,bcc,phase_native,bcc,5,5,eligible_balanced,fraction_bcc,0.9994,0.001341640786499875,0.9977341329368813,1.0010658670631187,"two-sided Student-t, df=4"
DPA4__bcc_parent,DPA4,bcc,reciprocal_alarm,fcc,5,4,blocked_incomplete,energy_eV_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA4__bcc_parent,DPA4,bcc,reciprocal_alarm,fcc,5,4,blocked_incomplete,volume_A3_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA4__bcc_parent,DPA4,bcc,reciprocal_alarm,fcc,5,4,blocked_incomplete,density_g_cm3,,,,,blocked: incomplete five-decoration matrix
DPA4__bcc_parent,DPA4,bcc,reciprocal_alarm,fcc,5,4,blocked_incomplete,max_force_eV_per_A,,,,,blocked: incomplete five-decoration matrix
DPA4__bcc_parent,DPA4,bcc,reciprocal_alarm,fcc,5,4,blocked_incomplete,pressure_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA4__bcc_parent,DPA4,bcc,reciprocal_alarm,fcc,5,4,blocked_incomplete,max_stress_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA4__bcc_parent,DPA4,bcc,reciprocal_alarm,fcc,5,4,blocked_incomplete,fraction_fcc,,,,,blocked: incomplete five-decoration matrix
DPA4__fcc_parent,DPA4,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,energy_eV_per_atom,-9.758140391296717,0.0006719602081024983,-9.758974740095343,-9.75730604249809,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,volume_A3_per_atom,18.89466497043022,0.006090937084200951,18.887102073137445,18.902227867722996,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,density_g_cm3,10.4490384089854,0.00336701353807914,10.444857709493702,10.453219108477098,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,max_force_eV_per_A,0.00034733004449917217,7.59322907476986e-05,0.00025304765277661386,0.0004416124362217305,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,pressure_error_GPa,0.007592739781841629,0.006767516409307557,-0.0008102417008487885,0.015995721264532047,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,max_stress_error_GPa,0.04363666341286718,0.01422061370854746,0.025979439338600845,0.061293887487133505,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,fraction_bcc,1.0,0.0,1.0,1.0,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,phase_native,fcc,5,5,eligible_balanced,energy_eV_per_atom,-9.678970754109672,0.0004129276787580189,-9.679483471542248,-9.678458036677096,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,phase_native,fcc,5,5,eligible_balanced,volume_A3_per_atom,19.07554229954166,0.007073189707751988,19.06675977452908,19.08432482455424,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,phase_native,fcc,5,5,eligible_balanced,density_g_cm3,10.34995924172948,0.0038384063036193293,10.345193230811796,10.354725252647162,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,phase_native,fcc,5,5,eligible_balanced,max_force_eV_per_A,0.0005628412412112041,0.00040024184316956717,6.58753539728344e-05,0.0010598071284495737,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,phase_native,fcc,5,5,eligible_balanced,pressure_error_GPa,0.014840099806201133,0.019882421593141936,-0.009847187283112385,0.039527386895514646,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,phase_native,fcc,5,5,eligible_balanced,max_stress_error_GPa,0.055400073982926255,0.02539191672619716,0.023871845138619195,0.08692830282723332,"two-sided Student-t, df=4"
DPA4__fcc_parent,DPA4,fcc,phase_native,fcc,5,5,eligible_balanced,fraction_fcc,0.9958,0.006220932405998322,0.9880756921962127,1.0035243078037872,"two-sided Student-t, df=4"
DPA2__bcc_parent,DPA2,bcc,within_model_phase_pair,fcc_minus_bcc,5,0,blocked_incomplete,energy_fcc_minus_bcc_eV_per_atom,,,,,blocked: incomplete five-pair matrix
DPA2__fcc_parent,DPA2,fcc,within_model_phase_pair,fcc_minus_bcc,5,0,blocked_incomplete,energy_fcc_minus_bcc_eV_per_atom,,,,,blocked: incomplete five-pair matrix
DPA3__bcc_parent,DPA3,bcc,within_model_phase_pair,fcc_minus_bcc,5,0,blocked_incomplete,energy_fcc_minus_bcc_eV_per_atom,,,,,blocked: incomplete five-pair matrix
DPA3__fcc_parent,DPA3,fcc,within_model_phase_pair,fcc_minus_bcc,5,0,blocked_incomplete,energy_fcc_minus_bcc_eV_per_atom,,,,,blocked: incomplete five-pair matrix
DPA4__bcc_parent,DPA4,bcc,within_model_phase_pair,fcc_minus_bcc,5,4,blocked_incomplete,energy_fcc_minus_bcc_eV_per_atom,,,,,blocked: incomplete five-pair matrix
DPA4__fcc_parent,DPA4,fcc,within_model_phase_pair,fcc_minus_bcc,5,5,eligible_balanced,energy_fcc_minus_bcc_eV_per_atom,0.07916963718704366,0.0009446894397284594,0.07799665032024955,0.08034262405383777,"paired by chemical seed; two-sided Student-t, df=4"
