architecture,fold,system_id,parent_family,structure,hnf_group,comparison,pure_coverage_distance_median,treatment_coverage_distance_median,coverage_distance_reduction,pure_force_component_rmse_ev_a,treatment_force_component_rmse_ev_a,force_component_rmse_reduction_ev_a
DPA2,fcc_to_bcc,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_16_H1C3,1.0,pure_pocc_seed_vs_pure,4.543459208697742,2.298044631676593,2.2454145770211493,0.6908082393105217,0.818437667873408,-0.12762942856288628
DPA2,fcc_to_bcc,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_17_H1C4,1.0,pure_pocc_seed_vs_pure,4.538349818639587,2.1601058364557444,2.378243982183843,0.6131945466668457,0.8046132945871513,-0.19141874792030555
DPA2,fcc_to_bcc,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_18_H1C5,1.0,pure_pocc_seed_vs_pure,4.645216172711248,2.008228623362684,2.6369875493485644,0.7013412302537223,0.7521126527887952,-0.05077142253507294
DPA2,fcc_to_bcc,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_19_H1C6,1.0,pure_pocc_seed_vs_pure,4.616096836140878,2.27053769003881,2.345559146102068,0.9873250983976564,0.8270976740718207,0.1602274243258357
DPA2,fcc_to_bcc,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_20_H1C7,1.0,pure_pocc_seed_vs_pure,4.600806341790863,2.2769244700750813,2.3238818717157814,0.8065125013146662,0.8116113809593077,-0.0050988796446415074
DPA2,fcc_to_bcc,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_21_H1C8,1.0,pure_pocc_seed_vs_pure,4.559043460387983,2.277341313211992,2.2817021471759906,0.7654972107743233,0.8234037710653366,-0.057906560291013265
DPA2,fcc_to_bcc,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_22_H1C10,1.0,pure_pocc_seed_vs_pure,4.552208231616457,2.2866393090938644,2.2655689225225926,0.7551919601509817,0.8474670836217895,-0.0922751234708078
DPA2,fcc_to_bcc,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_23_H1C12,1.0,pure_pocc_seed_vs_pure,4.623701578215881,2.263748873318788,2.359952704897093,0.9711992819153392,0.7941575671177391,0.1770417147976001
DPA2,fcc_to_bcc,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_24_H1C14,1.0,pure_pocc_seed_vs_pure,4.594004810524294,2.2459853157484764,2.3480194947758175,0.6989500397762465,0.7853879955347078,-0.08643795575846136
DPA2,fcc_to_bcc,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_25_H2C0,2.0,pure_pocc_seed_vs_pure,5.3689348107076444,0.0181476384705845,5.35078717223706,0.746517281648108,0.3841514031476423,0.36236587850046575
DPA2,fcc_to_bcc,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2.0,pure_pocc_seed_vs_pure,5.263812417612762,3.0163189189737256,2.2474934986390362,0.6191716685681848,0.5479503430833825,0.07122132548480231
DPA2,fcc_to_bcc,POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_34_H2C10,2.0,pure_pocc_seed_vs_pure,4.891658029854182,2.8457826114306988,2.045875418423483,1.0062445925340309,0.6170089042439882,0.3892356882900426
DPA2,fcc_to_bcc,POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_35_H2C12,2.0,pure_pocc_seed_vs_pure,4.87352903288128,2.8350460711739207,2.0384829617073597,0.8034644226838628,0.5418830543894021,0.26158136829446066
DPA2,fcc_to_bcc,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_36_H2C14,2.0,pure_pocc_seed_vs_pure,5.005874351140314,2.9369605921286275,2.068913759011686,0.732029469845138,0.5475897429696709,0.18443972687546706
