fold,regime,system_id,parent_family,structure,hnf_group,environment_count,coverage_distance_mean,coverage_distance_median,coverage_distance_p90,coverage_distance_minimum,coverage_distance_maximum
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0,60,3.4115163446615995,3.6365811113635877,3.8123000358899173,2.7564378098870774,3.812311320996537
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1,240,2.289509179138535,2.2568992149322744,2.5831166360267757,1.6946256284511285,3.0119216282908434
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_14_H1C1,1,900,2.2933406746354588,2.305596390376425,2.5972959539824823,1.509145023960027,3.1910772599489827
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_15_H1C2,1,720,2.299984221966857,2.284670086192091,2.599327910026078,1.681776073141144,3.025959348599711
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_16_H1C3,1,1800,2.2934116255809114,2.2980446316765932,2.5792614635661444,1.5885555288386384,3.231002774250327
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_17_H1C4,1,960,2.1792358750551455,2.1601058364557444,2.502055866270222,1.464535057551798,3.016383543525724
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_18_H1C5,1,180,2.0598553469902567,2.0082286233626836,2.3686534865916755,1.5937434182149455,2.8624094887426934
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_19_H1C6,1,840,2.2410693215381294,2.27053769003881,2.6066739037117697,1.3186969890262823,3.0448126334954737
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_20_H1C7,1,900,2.2694206107136643,2.2769244700750813,2.5818903713074137,1.4654897036736825,2.9265536486711508
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_21_H1C8,1,1020,2.280413761096975,2.277341313211992,2.5828365138390295,1.3658996349852166,2.9840953243846933
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_22_H1C10,1,900,2.2955794737554127,2.2866393090938644,2.586540671561714,1.6043763704638712,3.0500292693977227
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_23_H1C12,1,720,2.2427824028132637,2.2637488733187876,2.627125697429473,1.3790620959534743,3.041690126447799
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_24_H1C14,1,540,2.262475623234494,2.2459853157484764,2.5714504930356776,1.4085684890012888,3.0534496724121314
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_25_H2C0,2,60,0.020104533820639717,0.018147638470584586,0.03107454932410045,0.010209481585235372,0.031169098766170026
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2,60,2.8034903821342243,3.0163189189737256,3.5202730174549113,1.5231373307975014,3.520275326359337
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_34_H2C10,2,120,2.4612376627198866,2.8457826114306988,3.3058688066034407,0.42968800412762287,3.4051979875981613
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_35_H2C12,2,120,2.5393362163069053,2.8350460711739207,3.4271142626189994,0.998574453984402,3.4657134858947627
