architecture,fold,comparison,baseline_regime,treatment_regime,force_bin,systems_with_atoms,baseline_equal_system_component_rmse_ev_a,treatment_equal_system_component_rmse_ev_a,absolute_reduction_ev_a,reduction_ci_low,reduction_ci_high,bootstrap_resamples
DPA4,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0, 0.5)",41,0.5868841470115107,0.6653506999552641,-0.07846655294375338,-0.18734661862835258,0.024322816669512134,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0, 0.5)",41,0.5868841470115107,0.18015704299695123,0.40672710401455947,0.36294462023925117,0.450010384694294,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0, 0.5)",41,0.6653506999552641,0.18015704299695123,0.48519365695831285,0.356831146028821,0.6241946956490786,10000
DPA4,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0.5, 1)",41,0.5781974875269418,0.8572898785295585,-0.27909239100261674,-0.4428634526943626,-0.12941761297912643,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0.5, 1)",41,0.5781974875269418,0.19553401908968437,0.3826634684372574,0.34141349802268817,0.42351722292493255,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0.5, 1)",41,0.8572898785295585,0.19553401908968437,0.6617558594398741,0.4843218251988439,0.8539203605289694,10000
DPA4,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[1, 2)",41,0.5757310380494354,1.0578502272458075,-0.4821191891963721,-0.6924224255064987,-0.2897779676446997,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[1, 2)",41,0.5757310380494354,0.21589999592060996,0.35983104212882544,0.31789303918997885,0.4013932313538495,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[1, 2)",41,1.0578502272458075,0.21589999592060996,0.8419502313251975,0.6166136113036408,1.0846983682677593,10000
DPA4,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[2, 4)",41,0.5862600083588259,1.355659190092181,-0.7693991817333552,-1.1101552686133367,-0.47664904669747465,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[2, 4)",41,0.5862600083588259,0.25489569286687574,0.3313643154919501,0.287505758502351,0.3762637783316485,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[2, 4)",41,1.355659190092181,0.25489569286687574,1.1007634972253053,0.7760475715586043,1.4728836553753022,10000
DPA4,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[4, inf)",24,0.5390018446797535,1.1129619724177886,-0.5739601277380351,-0.8223683524208687,-0.3393000316416679,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[4, inf)",24,0.5390018446797535,0.38517135523020074,0.1538304894495528,0.0600941271426655,0.25626154508440635,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[4, inf)",24,1.1129619724177886,0.38517135523020074,0.7277906171875879,0.4809158191843726,0.9879318976456979,10000
