architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA3,bcc_to_fcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,0.6718936538889471,0.6566599161456494,0.6857633194078117,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.3034258888476523,0.24178998618927916,0.3718152402434489,10000
DPA3,bcc_to_fcc,pure,primary,force_component_mae_ev_a,eV/angstrom,41,0.3238283949522873,0.3096008341649768,0.3381019857881527,10000
DPA3,bcc_to_fcc,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,41,0.5174865617093618,0.5047373182191848,0.5293525731079777,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,41,0.22788592201384436,0.18373853783695043,0.27646244466792,10000
DPA3,bcc_to_fcc,pure,primary,force_vector_rmse_ev_a,eV/angstrom,41,0.7370391911544165,0.7012838866496521,0.7732140054156011,10000
DPA3,bcc_to_fcc,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,41,1.1637539458187547,1.1373683380581834,1.1877769111814143,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,41,0.5255490558158807,0.4187925408412087,0.6440028871300819,10000
DPA3,bcc_to_fcc,pure,primary,energy_rmse_mev_atom,meV/atom,41,113.858440530014,106.3262036229616,120.97897110598086,10000
DPA3,bcc_to_fcc,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,41,126.94133385394584,118.67391209507691,135.7041829978688,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,41,46.75549445186511,28.65030140623804,67.24456278768552,10000
DPA3,bcc_to_fcc,pure,primary,energy_mae_mev_atom,meV/atom,41,112.50217763810154,104.85637286515745,119.72012089492613,10000
DPA3,bcc_to_fcc,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,41,123.3834414780935,114.9110985320272,132.26972262296837,10000
