architecture,fold,regime,system_id,parent_family,structure,hnf_group,coverage_distance_median,coverage_distance_p90,force_component_rmse_ev_a
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_11_H0C12,0.0,2.9286800399014856,3.086382362739239,0.488715577536673
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0.0,2.808929430868067,2.971621150755668,0.7528673976080467
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1.0,1.269128227100044,1.5662897847569024,0.2209562804730786
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_14_H1C1,1.0,1.278680221819857,1.5364662551763084,0.2213222167895359
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_15_H1C2,1.0,1.2883521046167812,1.563226207706344,0.2456619784482912
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_16_H1C3,1.0,1.2730864034795004,1.514467381003521,0.2498218736255256
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_17_H1C4,1.0,1.1928642510968577,1.4241527190130534,0.2178382269521907
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_18_H1C5,1.0,1.0130763032910366,1.2811613638668906,0.2126441701495876
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_19_H1C6,1.0,1.2168157933826405,1.4829526609009749,0.2208576035840605
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_20_H1C7,1.0,1.3660795235043182,1.610899963731247,0.209241461374336
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_21_H1C8,1.0,1.3324618806478763,1.5738205343336829,0.2287234319026823
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_22_H1C10,1.0,1.3392863460105562,1.5683726508387434,0.2274270622427298
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_23_H1C12,1.0,1.2830056362647912,1.5533297161280806,0.215242462110745
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_24_H1C14,1.0,1.4242081807237934,1.637841473041285,0.2185065442984773
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_25_H2C0,2.0,0.0181476384705845,0.0310745493241004,0.084243333945207
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2.0,2.634371308566012,3.262378132459617,0.2239649914916221
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_34_H2C10,2.0,2.399438067531201,2.9025653857207976,0.2028840354748501
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_35_H2C12,2.0,2.3383887514136763,3.044192817271653,0.252179263948395
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_36_H2C14,2.0,2.32146955381965,3.019808939948742,0.2101152556806843
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_37_H3C0,3.0,0.8762346095990319,1.131033879879904,0.1029459601413257
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_38_H4C0,4.0,1.933009155323147,2.2664878935390917,0.1626733571455458
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_39_H4C1,4.0,1.902844060298973,2.238258006737812,0.1666451976543133
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_40_H4C2,4.0,1.9543254355126092,2.303351225443593,0.1852827051233341
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_41_H4C3,4.0,1.9039019629387868,2.2449369303874183,0.1354452984673856
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_42_H4C4,4.0,1.880150599800611,2.2081780559616244,0.1550790649762082
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_43_H4C5,4.0,1.8962305024564925,2.2448050042479544,0.1785742054894188
