architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.7269428736268275,0.849611749488432,-0.12266887586160446,-0.25356936419523673,0.02174806177361588,-16.874623895766522,-38.59558283717921,2.629609244694444,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.7269428736268275,0.3318190631598449,0.39512381046698264,0.3123757822207944,0.4883062165118921,54.354176208599505,47.68733134829458,60.195378662067874,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.849611749488432,0.3318190631598449,0.5177926863285871,0.41742359663859957,0.6125564796381239,60.94462401683596,53.78150187700721,66.76196202608276,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,42,199.92105235503806,118.70337070795328,81.21768164708477,66.39468626997666,95.55951440327864,40.62487701537855,34.61073997440765,47.34403318752023,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,42,199.92105235503806,84.18478107755969,115.73627127747837,105.91680417242445,125.10726312632633,57.89098742434756,49.02765948575318,69.41609854832726,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,42,118.70337070795328,84.18478107755969,34.51858963039359,20.148077613018117,48.626290798198596,29.07970466594408,15.71710016230905,46.48507156213998,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,42,199.47889854724076,114.74460347250508,84.73429507473568,70.21974793237735,98.68388003969372,42.47782381587035,36.238781321955045,49.63981581145272,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,42,199.47889854724076,83.74694335825289,115.73195518898787,106.0016677195537,125.04660437163952,58.01714167856212,49.12286191510647,69.60646552787286,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,42,114.74460347250508,83.74694335825289,30.997660114252184,17.120919032127237,44.54265734198053,27.014481880779513,13.849883467413019,44.328735054538626,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,42,416.9895840834569,397.1286273573173,19.86095672613959,-10.12692864111776,51.26857133165355,4.762938328494217,-2.4804146376571072,12.425548428454839,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,42,416.9895840834569,331.8089797920471,85.1806042914098,59.944578345051376,114.40048392105888,20.427513670068464,14.776370708296975,28.23636490940462,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,42,397.1286273573173,331.8089797920471,65.3196475652702,44.041124947764985,87.5909974691631,16.447982609548497,11.87716941425086,22.459367301151257,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,42,3.4836669389963895,3.3153795516001714,0.16828738739621807,-0.08143449869418636,0.42989755796579626,4.830754212246823,-2.4064675648149882,12.557146489450696,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,42,3.4836669389963895,2.7750856057308786,0.7085813332655109,0.4978491186742819,0.9521838711022055,20.340099833701274,14.712237506345415,28.12642116294434,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,42,3.3153795516001714,2.7750856057308786,0.5402939458692928,0.36293849175204185,0.7259671322543773,16.296594023707463,11.772982537138294,22.239790761052454,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,41,0.4411578173049507,0.5980512327697446,-0.1568934154647939,-0.19843664006436243,-0.11051937505952503,-35.564011179323884,-48.38163388352939,-23.39680628764635,degradation,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,41,0.4411578173049507,0.2957179692963606,0.14543984800859006,0.08501139125308918,0.20078973897998742,32.967759451048025,19.023596105841115,45.93881829265077,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,41,0.5980512327697446,0.2957179692963606,0.30233326347338396,0.22853556691969282,0.3705928099136731,50.55307085869433,38.364434692288754,61.40335223517453,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,41,0.31467220020694925,0.42566218375863474,-0.11098998355168549,-0.1372764242341533,-0.08238241649433474,-35.27162026982083,-45.760997979408806,-25.011138386372973,degradation,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,41,0.31467220020694925,0.21063990177688607,0.10403229843006317,0.06052797520742791,0.14434378176894921,33.060530406449836,19.027500910083585,45.91681994323718,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,41,0.42566218375863474,0.21063990177688607,0.21502228198174866,0.16068473702429084,0.2662384844716977,50.51477208594921,38.44237458549809,61.01694736407808,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,41,0.7641077537283633,1.0358551206863988,-0.2717473669580356,-0.34370234267473376,-0.19142517282385793,-35.56401117932387,-48.38163388352944,-23.396806287646363,degradation,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,41,0.7641077537283633,0.5121985475323899,0.25190920619597335,0.147244048872467,0.3477780295518315,32.96775945104804,19.023596105841104,45.93881829265078,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,41,1.0358551206863988,0.5121985475323899,0.5236565731540089,0.3958352132414651,0.641885575690197,50.55307085869434,38.364434692288754,61.40335223517452,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,41,110.14077241524816,122.86012134801877,-12.7193489327706,-25.927986093847206,0.14085234937058297,-11.54826560033249,-24.762519286349495,0.12280223003684913,unresolved,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,41,110.14077241524816,40.865428689206254,69.27534372604191,46.77783510111335,90.54649241838243,62.89709269957077,43.59770693974538,79.99055725954305,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,41,122.86012134801877,40.865428689206254,81.99469265881251,62.859966332659496,98.22965095115346,66.73824814689128,50.90497966664447,81.24756061991094,improvement,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,41,108.1936930029954,117.81880171005189,-9.625108707056484,-23.48174410810877,3.9726770719237243,-8.896182799481673,-22.91752511023972,3.5209682117909105,unresolved,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,41,108.1936930029954,34.35227266307908,73.84142033991633,54.22023652545645,92.72357515486058,68.2492835676401,51.578395195738395,82.96656523438347,improvement,10000
