run_id,orientation,temperature_K,chemical_seed,velocity_seed,strain_bin,strain_mean,stress_GPa_mean,raw_samples
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,197,0.19745,1.1675619999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,198,0.19845000000000002,1.239047,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,199,0.19945,1.2770393,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,200,0.2,1.45437,1
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,0,0.0004500000000000842,0.083389291,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,1,0.0014500000000000001,0.13276452999999996,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,2,0.00245,0.24678480000000005,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,3,0.0034500000000000004,0.2677247,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,4,0.00445,0.40201279999999995,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,5,0.005450000000000001,0.4137094,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,6,0.00645,0.42404280000000005,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,7,0.007450000000000001,0.4917109999999999,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,8,0.008450000000000001,0.5778603,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,9,0.00945,0.7154319,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,10,0.010450000000000001,0.7591828,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,11,0.011450000000000002,0.7651838000000001,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,12,0.01245,0.8965685999999999,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,13,0.013449999999999998,0.8680237999999999,10
compact_100_chem20262843_T300_rate0p005,100,300,20262843,20260903,14,0.01445,0.9508973999999999,10
